,Year,Gini Index
0,2022,41.3
1,2021,39.7
2,2020,39.7
3,2019,41.5
4,2018,41.4
5,2017,41.2
6,2016,41.1
7,2015,41.2
8,2014,41.5
9,2013,40.6
10,2012,40.9
11,2011,40.9
12,2010,40.0
13,2009,40.6
14,2008,40.8
15,2007,40.8
16,2006,41.4
17,2005,41.0
18,2004,40.3
19,2003,40.8
20,2002,40.4
21,2001,40.6
22,2000,40.1
23,1999,40.0
24,1998,40.0
25,1997,40.5
26,1996,40.3
27,1995,39.9
28,1994,40.0
29,1993,40.4
30,1992,38.4
31,1991,38.0
32,1990,38.3
33,1989,38.2
34,1988,37.7
35,1987,37.2
36,1986,37.6
37,1985,37.6
38,1984,37.3
39,1983,37.3
40,1982,36.7
41,1981,35.5
42,1980,34.7
43,1979,34.8
44,1978,34.8
45,1977,35.5
46,1976,35.6
47,1975,35.6
48,1974,35.5
49,1973,36.1
50,1972,36.7
51,1971,36.9
52,1970,36.6
53,1969,36.0
54,1968,36.3
55,1967,36.9
56,1966,37.8
57,1965,37.5
58,1964,38.1
59,1963,37.6
